,Name,Genre,ID,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
0,The Dark Knight,Action,tt0468569,2008,9.0,Christopher Nolan,"2,573,361",$534.86M,9.0,"1,480,015",8.7,"265,210"
1,The Lord of the Rings: The Return of the King,Action,tt0167260,2003,9.0,Peter Jackson,"1,786,873",$377.85M,9.0,"1,030,137",8.9,"218,645"
2,Inception,Action,tt1375666,2010,8.8,Christopher Nolan,"2,283,048",$292.58M,8.8,"1,263,368",8.7,"294,017"
3,The Lord of the Rings: The Two Towers,Action,tt0167261,2002,8.8,Peter Jackson,"1,613,775",$342.55M,8.8,"925,097",8.7,"202,157"
4,The Lord of the Rings: The Fellowship of the Ring,Action,tt0120737,2001,8.8,Peter Jackson,"1,807,955",$315.54M,8.8,"1,025,720",8.8,"229,858"
5,The Matrix,Action,tt0133093,1999,8.7,Lana Wachowski,"1,867,955",$171.48M,8.8,"1,079,518",8.4,"199,955"
6,The Empire Strikes Back,Action,tt0080684,1980,8.7,Irvin Kershner,"1,259,292",$290.48M,8.8,"750,623",8.5,"115,013"
7,Top Gun: Maverick,Action,tt1745960,2022,8.6,Joseph Kosinski,"188,014",,8.5,"84,992",8.7,"14,406"
8,Terminator 2: Judgment Day,Action,tt0103064,1991,8.6,James Cameron,"1,073,475",$204.84M,8.6,"690,318",8.1,"82,150"
9,Star Wars,Action,tt0076759,1977,8.6,George Lucas,"1,331,451",$322.74M,8.6,"787,897",8.4,"129,361"
10,Seppuku,Action,tt0056058,1962,8.6,Masaki Kobayashi,"54,611",,8.6,"34,940",8.3,"4,067"
11,Shichinin no samurai,Action,tt0047478,1954,8.6,Akira Kurosawa,"340,505",$0.27M,8.7,"224,266",8.3,"23,968"
12,Kaithi,Action,tt9900782,2019,8.5,Lokesh Kanagaraj,"25,044",,8.2,"8,764",8.1,271
13,Asuran,Action,tt9477520,2019,8.5,Vetrimaaran,"26,893",,8.2,"9,709",7.9,280
14,K.G.F: Chapter 2,Action,tt10698680,2022,8.5,Prashanth Neel,"108,904",,7.9,"17,412",7.3,556
15,Gladiator,Action,tt0172495,2000,8.5,Ridley Scott,"1,461,763",$187.71M,8.6,"871,720",8.3,"154,493"
16,Léon,Action,tt0110413,1994,8.5,Luc Besson,"1,132,516",$19.50M,8.5,"667,627",8.6,"131,644"
17,Spider-Man: Into the Spider-Verse,Action,tt4633694,2018,8.4,Bob Persichetti,"497,538",$190.24M,8.3,"240,923",8.5,"37,070"
18,Avengers: Endgame,Action,tt4154796,2019,8.4,Anthony Russo,"1,066,486",$858.37M,8.3,"477,996",8.5,"86,650"
19,Avengers: Infinity War,Action,tt4154756,2018,8.4,Anthony Russo,"1,026,163",$678.82M,8.4,"501,585",8.4,"88,531"
20,The Dark Knight Rises,Action,tt1345836,2012,8.4,Christopher Nolan,"1,661,594",$448.14M,8.4,"992,743",8.4,"168,864"
21,Shershaah,Action,tt10295212,2021,8.4,Vishnuvardhan,"117,694",,7.8,"19,215",8.1,"1,713"
22,Oldeuboi,Action,tt0364569,2003,8.4,Park Chan-wook,"565,004",$0.71M,8.4,"360,158",8.2,"54,669"
23,Aliens,Action,tt0090605,1986,8.4,James Cameron,"702,719",$85.16M,8.4,"453,237",8.1,"58,239"
24,Raiders of the Lost Ark,Action,tt0082971,1981,8.4,Steven Spielberg,"947,492",$248.16M,8.5,"580,858",8.2,"92,880"
25,Everything Everywhere All at Once,Action,tt6710474,2022,8.3,Dan Kwan,"124,679",,8.2,"59,130",8.4,"10,735"
26,Dangal,Action,tt5074352,2016,8.3,Nitesh Tiwari,"184,434",$12.39M,8.3,"94,832",8.4,"13,437"
27,Spider-Man: No Way Home,Action,tt10872600,2021,8.3,Jon Watts,"661,696",$804.75M,8.2,"242,908",8.5,"39,784"
28,Heat,Action,tt0113277,1995,8.3,Michael Mann,"637,742",$67.44M,8.3,"427,048",7.9,"39,216"
29,Star Wars: Episode VI - Return of the Jedi,Action,tt0086190,1983,8.3,Richard Marquand,"1,028,692",$309.13M,8.3,"613,035",8.3,"95,906"
30,North by Northwest,Action,tt0053125,1959,8.3,Alfred Hitchcock,"322,855",$13.28M,8.3,"198,544",8.2,"35,655"
31,1917,Action,tt8579674,2019,8.2,Sam Mendes,"557,012",$159.23M,8.2,"284,184",8.3,"43,883"
32,Uri: The Surgical Strike,Action,tt8291224,2019,8.2,Aditya Dhar,"59,529",$4.19M,8.0,"27,657",8.2,"1,534"
33,K.G.F: Chapter 1,Action,tt7838252,2018,8.2,Prashanth Neel,"77,573",,7.8,"26,163",7.2,759
34,Vikram Vedha,Action,tt6148156,2017,8.2,Gayatri,"37,694",,8.0,"19,216",7.3,916
35,Dag II,Action,tt5813916,2016,8.2,Alper Caglar,"108,105",,8.1,"69,989",8.5,"4,651"
36,Baahubali 2: The Conclusion,Action,tt4849438,2017,8.2,S.S. Rajamouli,"94,176",$20.19M,8.0,"48,965",8.2,"3,397"
37,Gangs of Wasseypur,Action,tt1954470,2012,8.2,Anurag Kashyap,"94,161",,8.1,"58,227",6.9,"3,089"
38,Paan Singh Tomar,Action,tt1620933,2012,8.2,Tigmanshu Dhulia,"36,060",$0.04M,8.1,"24,706",7.7,"1,018"
39,Warrior,Action,tt1291584,2011,8.2,Gavin O'Connor,"465,328",$13.66M,8.1,"319,557",8.2,"36,953"
40,Kimetsu no Yaiba: Mugen Ressha-Hen,Action,tt11032374,2020,8.2,Haruo Sotozaki,"53,505",$47.70M,8.0,"18,188",8.2,"2,400"
41,V for Vendetta,Action,tt0434409,2005,8.2,James McTeigue,"1,102,854",$70.51M,8.2,"678,883",8.2,"142,601"
42,Batman Begins,Action,tt0372784,2005,8.2,Christopher Nolan,"1,434,429",$206.85M,8.3,"867,641",8.1,"139,039"
43,Kill Bill: Vol. 1,Action,tt0266697,2003,8.2,Quentin Tarantino,"1,089,515",$70.10M,8.1,"646,528",8.2,"130,000"
44,"Lock, Stock and Two Smoking Barrels",Action,tt0120735,1998,8.2,Guy Ritchie,"573,211",$3.90M,8.2,"386,749",8.1,"48,550"
45,Jurassic Park,Action,tt0107290,1993,8.2,Steven Spielberg,"958,572",$402.45M,8.2,"553,743",8.1,"108,155"
46,Indiana Jones and the Last Crusade,Action,tt0097576,1989,8.2,Steven Spielberg,"741,298",$197.17M,8.3,"459,115",8.1,"72,152"
47,Die Hard,Action,tt0095016,1988,8.2,John McTiernan,"860,586",$83.01M,8.3,"547,684",7.9,"76,541"
48,Ran,Action,tt0089881,1985,8.2,Akira Kurosawa,"123,835",$4.14M,8.2,"81,057",8.0,"8,638"
49,Yôjinbô,Action,tt0055630,1961,8.2,Akira Kurosawa,"121,339",,8.2,"79,499",7.9,"8,444"
50,The General,Action,tt0017925,1926,8.2,Clyde Bruckman,"90,284",$1.03M,8.2,"56,967",8.0,"8,752"
51,Sherlock Jr.,Action,tt0015324,1924,8.2,Buster Keaton,"48,890",$0.98M,8.2,"30,819",8.2,"4,845"
52,RRR (Rise Roar Revolt),Action,tt8178634,2022,8.1,S.S. Rajamouli,"79,130",,7.8,"17,767",7.9,837
53,Bajrangi Bhaijaan,Action,tt3863552,2015,8.1,Kabir Khan,"85,614",$8.18M,7.9,"43,807",8.1,"4,626"
54,Haider,Action,tt3390572,2014,8.1,Vishal Bhardwaj,"54,681",$0.90M,8.0,"34,862",7.9,"2,976"
55,Logan,Action,tt3315342,2017,8.1,James Mangold,"735,785",$226.28M,8.0,"408,870",7.9,"62,833"
56,Rush,Action,tt1979320,2013,8.1,Ron Howard,"471,077",$26.95M,8.1,"306,112",8.0,"43,218"
57,Ford v Ferrari,Action,tt1950186,2019,8.1,James Mangold,"371,991",$117.62M,8.0,"200,798",8.1,"28,263"
58,Mad Max: Fury Road,Action,tt1392190,2015,8.1,George Miller,"975,188",$154.06M,8.1,"561,768",7.9,"93,233"
59,A Wednesday,Action,tt1280558,2008,8.1,Neeraj Pandey,"78,121",,8.0,"49,985",7.4,"3,174"
60,How to Train Your Dragon,Action,tt0892769,2010,8.1,Dean DeBlois,"724,128",$217.58M,8.0,"396,089",8.4,"124,894"
61,Pirates of the Caribbean: The Curse of the Black Pearl,Action,tt0325980,2003,8.1,Gore Verbinski,"1,100,370",$305.41M,8.0,"628,479",8.2,"170,152"
62,Hera Pheri,Action,tt0242519,2000,8.1,Priyadarshan,"65,518",,8.0,"38,001",7.1,"2,485"
63,Sarfarosh,Action,tt0200087,1999,8.1,John Mathew Matthan,"25,561",,8.1,"17,758",7.5,"1,157"
64,The Iron Giant,Action,tt0129167,1999,8.1,Brad Bird,"188,734",$23.16M,8.0,"117,318",8.0,"22,508"
65,The Terminator,Action,tt0088247,1984,8.1,James Cameron,"846,475",$38.40M,8.1,"546,735",7.7,"70,301"
66,Blade Runner,Action,tt0083658,1982,8.1,Ridley Scott,"752,905",$32.87M,8.1,"469,334",7.8,"63,469"
67,Sholay,Action,tt0073707,1975,8.1,Ramesh Sippy,"55,220",,8.1,"36,461",7.3,"2,346"
68,Kakushi-toride no san-akunin,Action,tt0051808,1958,8.1,Akira Kurosawa,"38,730",,8.1,"26,600",7.9,"2,596"
69,White Heat,Action,tt0042041,1949,8.1,Raoul Walsh,"32,695",,8.1,"22,609",8.0,"2,903"
70,Kaththi,Action,tt3801314,2014,8.0,A.R. Murugadoss,"26,584",,7.7,"12,322",7.1,403
71,Bãhubali: The Beginning,Action,tt2631186,2015,8.0,S.S. Rajamouli,"119,050",$6.74M,7.8,"64,099",7.7,"3,798"
72,1 - Nenokkadine,Action,tt2375559,2014,8.0,Sukumar,"45,203",,7.8,"28,409",6.9,"1,195"
73,Thuppakki,Action,tt2187153,2012,8.0,A.R. Murugadoss,"33,917",,7.7,"17,195",7.5,602
