,Name,Genre,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
0,The Dark Knight,Action,2008,9.0,Christopher Nolan,2573361,534.86,9.0,1480015,8.7,265210
1,The Lord of the Rings: The Return of the King,Action,2003,9.0,Peter Jackson,1786873,377.85,9.0,1030137,8.9,218645
2,Inception,Action,2010,8.8,Christopher Nolan,2283048,292.58,8.8,1263368,8.7,294017
3,The Lord of the Rings: The Two Towers,Action,2002,8.8,Peter Jackson,1613775,342.55,8.8,925097,8.7,202157
4,The Lord of the Rings: The Fellowship of the Ring,Action,2001,8.8,Peter Jackson,1807955,315.54,8.8,1025720,8.8,229858
5,The Matrix,Action,1999,8.7,Lana Wachowski,1867955,171.48,8.8,1079518,8.4,199955
6,The Empire Strikes Back,Action,1980,8.7,Irvin Kershner,1259292,290.48,8.8,750623,8.5,115013
7,Top Gun: Maverick,Action,2022,8.6,Joseph Kosinski,188014,76.86,8.5,84992,8.7,14406
8,Terminator 2: Judgment Day,Action,1991,8.6,James Cameron,1073475,204.84,8.6,690318,8.1,82150
9,Star Wars,Action,1977,8.6,George Lucas,1331451,322.74,8.6,787897,8.4,129361
10,Seppuku,Action,1962,8.6,Masaki Kobayashi,54611,76.86,8.6,34940,8.3,4067
11,Shichinin no samurai,Action,1954,8.6,Akira Kurosawa,340505,0.27,8.7,224266,8.3,23968
12,Kaithi,Action,2019,8.5,Lokesh Kanagaraj,25044,76.86,8.2,8764,8.1,271
13,Asuran,Action,2019,8.5,Vetrimaaran,26893,76.86,8.2,9709,7.9,280
14,K.G.F: Chapter 2,Action,2022,8.5,Prashanth Neel,108904,76.86,7.9,17412,7.3,556
15,Gladiator,Action,2000,8.5,Ridley Scott,1461763,187.71,8.6,871720,8.3,154493
16,Léon,Action,1994,8.5,Luc Besson,1132516,19.5,8.5,667627,8.6,131644
17,Spider-Man: Into the Spider-Verse,Action,2018,8.4,Bob Persichetti,497538,190.24,8.3,240923,8.5,37070
18,Avengers: Endgame,Action,2019,8.4,Anthony Russo,1066486,858.37,8.3,477996,8.5,86650
19,Avengers: Infinity War,Action,2018,8.4,Anthony Russo,1026163,678.82,8.4,501585,8.4,88531
20,The Dark Knight Rises,Action,2012,8.4,Christopher Nolan,1661594,448.14,8.4,992743,8.4,168864
21,Shershaah,Action,2021,8.4,Vishnuvardhan,117694,76.86,7.8,19215,8.1,1713
22,Oldeuboi,Action,2003,8.4,Park Chan-wook,565004,0.71,8.4,360158,8.2,54669
23,Aliens,Action,1986,8.4,James Cameron,702719,85.16,8.4,453237,8.1,58239
24,Raiders of the Lost Ark,Action,1981,8.4,Steven Spielberg,947492,248.16,8.5,580858,8.2,92880
25,Everything Everywhere All at Once,Action,2022,8.3,Dan Kwan,124679,76.86,8.2,59130,8.4,10735
26,Dangal,Action,2016,8.3,Nitesh Tiwari,184434,12.39,8.3,94832,8.4,13437
27,Spider-Man: No Way Home,Action,2021,8.3,Jon Watts,661696,804.75,8.2,242908,8.5,39784
28,Heat,Action,1995,8.3,Michael Mann,637742,67.44,8.3,427048,7.9,39216
29,Star Wars: Episode VI - Return of the Jedi,Action,1983,8.3,Richard Marquand,1028692,309.13,8.3,613035,8.3,95906
30,North by Northwest,Action,1959,8.3,Alfred Hitchcock,322855,13.28,8.3,198544,8.2,35655
31,1917,Action,2019,8.2,Sam Mendes,557012,159.23,8.2,284184,8.3,43883
