,Name,Genre,ID,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
0,The Dark Knight,Action,tt0468569,2008,9.0,Christopher Nolan,"2,556,384",534.86,9.0,"1,476,807",8.7,"264,598"
1,The Lord of the Rings: The Return of the King,Action,tt0167260,2003,9.0,Peter Jackson,"1,777,166",377.85,9.0,"1,027,904",8.9,"218,150"
2,K.G.F: Chapter 2,Action,tt10698680,2022,8.9,Prashanth Neel,"93,320",92.52,8.3,"13,286",7.5,428
3,Everything Everywhere All at Once,Action,tt6710474,2022,8.8,Dan Kwan,"39,711",92.52,8.7,"17,826",8.7,"3,781"
4,Inception,Action,tt1375666,2010,8.8,Christopher Nolan,"2,269,287",292.58,8.8,"1,260,681",8.7,"293,467"
5,The Lord of the Rings: The Two Towers,Action,tt0167261,2002,8.8,Peter Jackson,"1,605,071",342.55,8.8,"923,037",8.7,"201,716"
6,The Lord of the Rings: The Fellowship of the Ring,Action,tt0120737,2001,8.8,Peter Jackson,"1,798,460",315.54,8.8,"1,023,550",8.8,"229,375"
7,The Matrix,Action,tt0133093,1999,8.7,Lana Wachowski,"1,858,403",171.48,8.8,"1,077,281",8.4,"199,464"
8,The Empire Strikes Back,Action,tt0080684,1980,8.7,Irvin Kershner,"1,250,377",290.48,8.8,"748,520",8.5,"114,637"
9,Terminator 2: Judgment Day,Action,tt0103064,1991,8.6,James Cameron,"1,067,993",204.84,8.6,"688,620",8.1,"81,898"
10,Star Wars,Action,tt0076759,1977,8.6,George Lucas,"1,321,909",322.74,8.6,"785,623",8.4,"128,929"
11,Seppuku,Action,tt0056058,1962,8.6,Masaki Kobayashi,"53,853",92.52,8.6,"34,632",8.3,"4,042"
12,Shichinin no samurai,Action,tt0047478,1954,8.6,Akira Kurosawa,"338,966",0.27,8.7,"223,739",8.3,"23,903"
13,Asuran,Action,tt9477520,2019,8.5,Vetrimaaran,"26,339",92.52,8.2,"9,567",7.9,279
14,Gladiator,Action,tt0172495,2000,8.5,Ridley Scott,"1,453,664",187.71,8.6,"869,621",8.3,"154,091"
15,Léon,Action,tt0110413,1994,8.5,Luc Besson,"1,126,379",19.5,8.5,"666,088",8.6,"131,302"
16,RRR (Rise Roar Revolt),Action,tt8178634,2022,8.4,S.S. Rajamouli,"63,762",92.52,8.0,"11,668",8.0,443
17,Spider-Man: Into the Spider-Verse,Action,tt4633694,2018,8.4,Bob Persichetti,"489,724",190.24,8.3,"239,014",8.5,"36,758"
18,Avengers: Endgame,Action,tt4154796,2019,8.4,Anthony Russo,"1,050,643",858.37,8.3,"474,594",8.5,"85,962"
19,Avengers: Infinity War,Action,tt4154756,2018,8.4,Anthony Russo,"1,013,259",678.82,8.4,"498,823",8.4,"88,001"
20,The Dark Knight Rises,Action,tt1345836,2012,8.4,Christopher Nolan,"1,652,506",448.14,8.4,"990,817",8.4,"168,590"
21,Spider-Man: No Way Home,Action,tt10872600,2021,8.4,Jon Watts,"626,882",92.52,8.2,"231,346",8.5,"37,616"
22,Shershaah,Action,tt10295212,2021,8.4,Vishnuvardhan,"116,870",92.52,7.9,"18,991",8.1,"1,697"
23,Oldeuboi,Action,tt0364569,2003,8.4,Park Chan-wook,"561,883",0.71,8.4,"359,175",8.2,"54,495"
24,Mononoke-hime,Action,tt0119698,1997,8.4,Hayao Miyazaki,"381,988",2.38,8.3,"210,569",8.3,"56,888"
25,Aliens,Action,tt0090605,1986,8.4,James Cameron,"699,486",85.16,8.4,"452,114",8.1,"58,062"
26,Raiders of the Lost Ark,Action,tt0082971,1981,8.4,Steven Spielberg,"943,363",248.16,8.5,"579,638",8.2,"92,676"
27,Dangal,Action,tt5074352,2016,8.3,Nitesh Tiwari,"182,734",12.39,8.3,"94,322",8.4,"13,368"
28,Heat,Action,tt0113277,1995,8.3,Michael Mann,"633,848",67.44,8.3,"425,634",7.9,"39,040"
29,Star Wars: Episode VI - Return of the Jedi,Action,tt0086190,1983,8.3,Richard Marquand,"1,021,491",309.13,8.3,"611,256",8.3,"95,614"
30,1917,Action,tt8579674,2019,8.2,Sam Mendes,"549,632",159.23,8.2,"281,740",8.3,"43,582"
31,Uri: The Surgical Strike,Action,tt8291224,2019,8.2,Aditya Dhar,"58,792",4.19,8.0,"27,472",8.2,"1,525"
32,K.G.F: Chapter 1,Action,tt7838252,2018,8.2,Prashanth Neel,"73,826",92.52,7.9,"25,125",7.2,716
33,Vikram Vedha,Action,tt6148156,2017,8.2,Gayatri,"36,878",92.52,8.0,"18,999",7.3,911
34,Dag II,Action,tt5813916,2016,8.2,Alper Caglar,"107,972",92.52,8.1,"69,959",8.5,"4,648"
35,Baahubali 2: The Conclusion,Action,tt4849438,2017,8.2,S.S. Rajamouli,"92,307",20.19,8.0,"48,487",8.2,"3,376"
36,Gangs of Wasseypur,Action,tt1954470,2012,8.2,Anurag Kashyap,"93,733",92.52,8.1,"58,087",6.9,"3,083"
37,Paan Singh Tomar,Action,tt1620933,2012,8.2,Tigmanshu Dhulia,"35,929",0.04,8.1,"24,667",7.7,"1,015"
38,Warrior,Action,tt1291584,2011,8.2,Gavin O'Connor,"463,385",13.66,8.1,"318,861",8.2,"36,880"
